task,suite name,condition,prompt,completion,log_prob,prediction
30,subordination_orc-orc,sub_matrix, Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store,", she administered the wrong medicine .",tensor(-2.7917),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,no-sub_matrix, The nurse who the doctor had met only once lost her documents that she had bought from an expensive store,", she administered the wrong medicine .",tensor(-3.5091),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,sub_no-matrix, Because the scientist who the contractor had recommended broke the computer that the administrator moved to the basement,.,tensor(-1.5193),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,no-sub_no-matrix, The scientist who the contractor had recommended broke the computer that the administrator moved to the basement,.,tensor(-0.7366),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,sub_matrix, Because the scientist who the contractor had recommended broke the computer that the administrator moved to the basement,", the administrator wrote everything by hand .",tensor(-3.1695),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,no-sub_matrix, The scientist who the contractor had recommended broke the computer that the administrator moved to the basement,", the administrator wrote everything by hand .",tensor(-4.2602),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,sub_no-matrix, After the minister who the mayor had invited praised the new building that the businessman had built downtown,.,tensor(-3.8108),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,no-sub_no-matrix, The minister who the mayor had invited praised the new building that the businessman had built downtown,.,tensor(-0.7119),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,sub_matrix, After the minister who the mayor had invited praised the new building that the businessman had built downtown,", it started to rain .",tensor(-2.9457),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,no-sub_matrix, The minister who the mayor had invited praised the new building that the businessman had built downtown,", it started to rain .",tensor(-4.3628),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,sub_no-matrix, Because the architect who the mayor respected very much read the proposal that the housing authority drafted,.,tensor(-2.4846),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,no-sub_no-matrix, The architect who the mayor respected very much read the proposal that the housing authority drafted,.,tensor(-1.5969),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,sub_matrix, Because the architect who the mayor respected very much read the proposal that the housing authority drafted,", the house was built correctly .",tensor(-3.6739),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,no-sub_matrix, The architect who the mayor respected very much read the proposal that the housing authority drafted,", the house was built correctly .",tensor(-5.0574),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,sub_no-matrix, Before the actor who the director praised openly delivered the speech that the author had written yesterday,.,tensor(-2.9850),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,no-sub_no-matrix, The actor who the director praised openly delivered the speech that the author had written yesterday,.,tensor(-0.7883),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,sub_matrix, Before the actor who the director praised openly delivered the speech that the author had written yesterday,", she took a deep breath .",tensor(-2.7414),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,no-sub_matrix, The actor who the director praised openly delivered the speech that the author had written yesterday,", she took a deep breath .",tensor(-3.7528),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,sub_no-matrix, While the pianist who the critic did not like practiced the music that the composer had written,.,tensor(-4.3572),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,no-sub_no-matrix, The pianist who the critic did not like practiced the music that the composer had written,.,tensor(-1.2767),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,sub_matrix, While the pianist who the critic did not like practiced the music that the composer had written,", the conductor stretched his arms .",tensor(-3.2827),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,no-sub_matrix, The pianist who the critic did not like practiced the music that the composer had written,", the conductor stretched his arms .",tensor(-3.9316),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,sub_no-matrix, Although the students who the principle had disciplined enjoyed the novel that the school administrator had written,.,tensor(-5.5917),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,no-sub_no-matrix, The students who the principle had disciplined enjoyed the novel that the school administrator had written,.,tensor(-0.8676),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,sub_matrix, Although the students who the principle had disciplined enjoyed the novel that the school administrator had written,", the teacher considered it poorly written .",tensor(-2.9079),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,no-sub_matrix, The students who the principle had disciplined enjoyed the novel that the school administrator had written,", the teacher considered it poorly written .",tensor(-3.8545),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,sub_no-matrix, While the maid who the chef had yelled at read the magazine that the shift manager left behind,.,tensor(-2.9701),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,no-sub_no-matrix, The maid who the chef had yelled at read the magazine that the shift manager left behind,.,tensor(-0.8165),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,sub_matrix, While the maid who the chef had yelled at read the magazine that the shift manager left behind,", the customer waited at her table .",tensor(-3.4297),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,no-sub_matrix, The maid who the chef had yelled at read the magazine that the shift manager left behind,", the customer waited at her table .",tensor(-4.9691),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,sub_no-matrix, Before the assistant who the boss moved down the hall wrote the letter that the lawyer threw away,.,tensor(-2.1528),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,no-sub_no-matrix, The assistant who the boss moved down the hall wrote the letter that the lawyer threw away,.,tensor(-0.5936),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,sub_matrix, Before the assistant who the boss moved down the hall wrote the letter that the lawyer threw away,", she had a cup of coffee .",tensor(-3.1130),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,no-sub_matrix, The assistant who the boss moved down the hall wrote the letter that the lawyer threw away,", she had a cup of coffee .",tensor(-4.1452),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,sub_no-matrix, After the diplomat who the spy had contacted repeatedly presented the file that the assistant had written,.,tensor(-4.0080),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,no-sub_no-matrix, The diplomat who the spy had contacted repeatedly presented the file that the assistant had written,.,tensor(-2.0070),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,sub_matrix, After the diplomat who the spy had contacted repeatedly presented the file that the assistant had written,", the ambassador gave a speech .",tensor(-3.0506),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,no-sub_matrix, The diplomat who the spy had contacted repeatedly presented the file that the assistant had written,", the ambassador gave a speech .",tensor(-4.1463),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,sub_no-matrix, While the officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,.,tensor(-6.8265),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,no-sub_no-matrix, The officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,.,tensor(-1.7711),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,sub_matrix, While the officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,", the players waited nervously .",tensor(-3.0116),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,no-sub_matrix, The officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,", the players waited nervously .",tensor(-4.2975),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,sub_no-matrix, Because the clerk who the citizens liked greatly lost the plans that the city planners had drafted,.,tensor(-2.0942),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,no-sub_no-matrix, The clerk who the citizens liked greatly lost the plans that the city planners had drafted,.,tensor(-1.2093),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,sub_matrix, Because the clerk who the citizens liked greatly lost the plans that the city planners had drafted,", the detective looked elsewhere .",tensor(-4.7790),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,no-sub_matrix, The clerk who the citizens liked greatly lost the plans that the city planners had drafted,", the detective looked elsewhere .",tensor(-5.2917),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,sub_no-matrix, While the tourists who the locals found strange read the guide that the maid had given them,.,tensor(-4.7669),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,no-sub_no-matrix, The tourists who the locals found strange read the guide that the maid had given them,.,tensor(-1.2059),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,sub_matrix, While the tourists who the locals found strange read the guide that the maid had given them,", the children played in the sand .",tensor(-2.7383),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,no-sub_matrix, The tourists who the locals found strange read the guide that the maid had given them,", the children played in the sand .",tensor(-3.7447),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,sub_no-matrix, When the politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,.,tensor(-6.0034),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,no-sub_no-matrix, The politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,.,tensor(-0.2574),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,sub_matrix, When the politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,", the protestors walked down the street .",tensor(-3.0961),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,no-sub_matrix, The politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,", the protestors walked down the street .",tensor(-3.9775),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,sub_no-matrix, When the police who the officer had given pistols found new evidence that the suspect had hidden,.,tensor(-4.8667),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,no-sub_no-matrix, The police who the officer had given pistols found new evidence that the suspect had hidden,.,tensor(-3.5161),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,sub_matrix, When the police who the officer had given pistols found new evidence that the suspect had hidden,", the judge declared a mistrial .",tensor(-2.7826),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,no-sub_matrix, The police who the officer had given pistols found new evidence that the suspect had hidden,", the judge declared a mistrial .",tensor(-3.9424),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,sub_no-matrix, Before the students who the committee had praised handed in their papers that the teacher assigned them,.,tensor(-3.1074),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,no-sub_no-matrix, The students who the committee had praised handed in their papers that the teacher assigned them,.,tensor(-1.3406),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,sub_matrix, Before the students who the committee had praised handed in their papers that the teacher assigned them,", they revised them all night long .",tensor(-2.8661),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,no-sub_matrix, The students who the committee had praised handed in their papers that the teacher assigned them,", they revised them all night long .",tensor(-3.4973),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
46,center_embed,plaus, The painting that the artist,painted,tensor(-5.1412),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,plaus, The painting that the artist painted,deteriorated,tensor(-6.0028),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,implaus, The painting that the artist,deteriorated,tensor(-6.3383),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,implaus, The painting that the artist deteriorated,painted,tensor(-4.9520),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,plaus, The storm that the captain,feared,tensor(-6.8493),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,plaus, The storm that the captain feared,subsided,tensor(-6.3533),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,implaus, The storm that the captain,subsided,tensor(-9.6269),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,implaus, The storm that the captain subsided,feared,tensor(-9.2130),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,plaus, The girl that the bug,frightened,tensor(-6.5840),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,plaus, The girl that the bug frightened,shouted,tensor(-6.3485),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,implaus, The girl that the bug,shouted,tensor(-6.1684),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,implaus, The girl that the bug shouted,frightened,tensor(-6.2640),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,plaus, The baby that the woman,held,tensor(-6.9239),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,plaus, The baby that the woman held,yelled,tensor(-7.4532),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,implaus, The baby that the woman,yelled,tensor(-6.7722),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,implaus, The baby that the woman yelled,held,tensor(-7.3586),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,plaus, The soldier that the bullet,wounded,tensor(-9.0085),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,plaus, The soldier that the bullet wounded,died,tensor(-7.3389),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,implaus, The soldier that the bullet,died,tensor(-8.1475),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,implaus, The soldier that the bullet died,wounded,tensor(-9.1432),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,plaus, The storm that the scientist,predicted,tensor(-7.0770),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,plaus, The storm that the scientist predicted,intensified,tensor(-6.4181),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,implaus, The storm that the scientist,intensified,tensor(-8.7811),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,implaus, The storm that the scientist intensified,predicted,tensor(-9.8666),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,plaus, The convict that the cop,arrested,tensor(-8.7863),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,plaus, The convict that the cop arrested,escaped,tensor(-5.2577),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,implaus, The convict that the cop,escaped,tensor(-6.3942),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,implaus, The convict that the cop escaped,arrested,tensor(-8.6845),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,plaus, The computer that the secretary,bought,tensor(-9.6912),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,plaus, The computer that the secretary bought,crashed,tensor(-8.1533),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,implaus, The computer that the secretary,crashed,tensor(-10.9163),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,implaus, The computer that the secretary crashed,bought,tensor(-8.9343),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,plaus, The floor that the maid,swept,tensor(-8.4146),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,plaus, The floor that the maid swept,cracked,tensor(-6.4929),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,implaus, The floor that the maid,cracked,tensor(-6.6948),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,implaus, The floor that the maid cracked,swept,tensor(-1.5574),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,plaus, The yacht that the millionaires,bought,tensor(-7.7877),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,plaus, The yacht that the millionaires bought,sank,tensor(-11.6351),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,implaus, The yacht that the millionaires,sank,tensor(-8.6512),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,implaus, The yacht that the millionaires sank,bought,tensor(-10.4700),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,plaus, The shirt that the man,bought,tensor(-11.3688),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,plaus, The shirt that the man bought,ripped,tensor(-9.2588),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,implaus, The shirt that the man,ripped,tensor(-9.8153),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,implaus, The shirt that the man ripped,bought,tensor(-10.2428),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,plaus, The water that the maid,poured,tensor(-7.7101),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,plaus, The water that the maid poured,evaporated,tensor(-5.8186),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,implaus, The water that the maid,evaporated,tensor(-5.3540),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,implaus, The water that the maid evaporated,poured,tensor(-7.8460),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,plaus, The building that the workers,built,tensor(-14.5156),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,plaus, The building that the workers built,collapsed,tensor(-8.8509),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,implaus, The building that the workers,collapsed,tensor(-10.9688),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,implaus, The building that the workers collapsed,built,tensor(-16.2968),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,plaus, The bones that the doctor,examined,tensor(-3.3595),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,plaus, The bones that the doctor examined,broke,tensor(-9.4048),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,implaus, The bones that the doctor,broke,tensor(-7.5446),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,implaus, The bones that the doctor broke,examined,tensor(-7.2316),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,plaus, The building that the workers,repaired,tensor(-6.3015),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,plaus, The building that the workers repaired,deteriorated,tensor(-3.0748),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,implaus, The building that the workers,deteriorated,tensor(-6.1514),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,implaus, The building that the workers deteriorated,repaired,tensor(-5.5182),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,plaus, The ship that the workers,built,tensor(-12.4782),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,plaus, The ship that the workers built,sank,tensor(-3.8666),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,implaus, The ship that the workers,sank,tensor(-11.0735),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,implaus, The ship that the workers sank,built,tensor(-17.9060),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,plaus, The horse that the boy,rode,tensor(-4.9879),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,plaus, The horse that the boy rode,bucked,tensor(-5.6604),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,implaus, The horse that the boy,bucked,tensor(-6.9509),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,implaus, The horse that the boy bucked,rode,tensor(-8.0410),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
63,center_embed,plaus, The water that the chef,needed,tensor(-8.2703),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
63,center_embed,plaus, The water that the chef needed,evaporated,tensor(-4.4280),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
