task,suite name,condition,prompt,completion,log_prob,prediction
30,subordination_orc-orc,sub_matrix, Since the nurse who the doctor had met only once lost her documents that she had bought from an expensive store,", she administered the wrong medicine .",tensor(-2.8823),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
30,subordination_orc-orc,no-sub_matrix, The nurse who the doctor had met only once lost her documents that she had bought from an expensive store,", she administered the wrong medicine .",tensor(-3.6728),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,sub_no-matrix, Because the scientist who the contractor had recommended broke the computer that the administrator moved to the basement,.,tensor(-1.4601),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,no-sub_no-matrix, The scientist who the contractor had recommended broke the computer that the administrator moved to the basement,.,tensor(-0.9566),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,sub_matrix, Because the scientist who the contractor had recommended broke the computer that the administrator moved to the basement,", the administrator wrote everything by hand .",tensor(-3.7648),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
31,subordination_orc-orc,no-sub_matrix, The scientist who the contractor had recommended broke the computer that the administrator moved to the basement,", the administrator wrote everything by hand .",tensor(-4.5240),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,sub_no-matrix, After the minister who the mayor had invited praised the new building that the businessman had built downtown,.,tensor(-4.5329),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,no-sub_no-matrix, The minister who the mayor had invited praised the new building that the businessman had built downtown,.,tensor(-0.8187),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,sub_matrix, After the minister who the mayor had invited praised the new building that the businessman had built downtown,", it started to rain .",tensor(-3.4048),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
32,subordination_orc-orc,no-sub_matrix, The minister who the mayor had invited praised the new building that the businessman had built downtown,", it started to rain .",tensor(-4.8089),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,sub_no-matrix, Because the architect who the mayor respected very much read the proposal that the housing authority drafted,.,tensor(-2.5933),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,no-sub_no-matrix, The architect who the mayor respected very much read the proposal that the housing authority drafted,.,tensor(-1.3762),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,sub_matrix, Because the architect who the mayor respected very much read the proposal that the housing authority drafted,", the house was built correctly .",tensor(-3.7530),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
33,subordination_orc-orc,no-sub_matrix, The architect who the mayor respected very much read the proposal that the housing authority drafted,", the house was built correctly .",tensor(-4.7622),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,sub_no-matrix, Before the actor who the director praised openly delivered the speech that the author had written yesterday,.,tensor(-2.9470),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,no-sub_no-matrix, The actor who the director praised openly delivered the speech that the author had written yesterday,.,tensor(-0.7435),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,sub_matrix, Before the actor who the director praised openly delivered the speech that the author had written yesterday,", she took a deep breath .",tensor(-2.9113),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
34,subordination_orc-orc,no-sub_matrix, The actor who the director praised openly delivered the speech that the author had written yesterday,", she took a deep breath .",tensor(-3.8866),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,sub_no-matrix, While the pianist who the critic did not like practiced the music that the composer had written,.,tensor(-3.6311),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,no-sub_no-matrix, The pianist who the critic did not like practiced the music that the composer had written,.,tensor(-1.3797),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,sub_matrix, While the pianist who the critic did not like practiced the music that the composer had written,", the conductor stretched his arms .",tensor(-3.2988),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
35,subordination_orc-orc,no-sub_matrix, The pianist who the critic did not like practiced the music that the composer had written,", the conductor stretched his arms .",tensor(-3.6995),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,sub_no-matrix, Although the students who the principle had disciplined enjoyed the novel that the school administrator had written,.,tensor(-5.8586),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,no-sub_no-matrix, The students who the principle had disciplined enjoyed the novel that the school administrator had written,.,tensor(-0.7786),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,sub_matrix, Although the students who the principle had disciplined enjoyed the novel that the school administrator had written,", the teacher considered it poorly written .",tensor(-3.0651),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
36,subordination_orc-orc,no-sub_matrix, The students who the principle had disciplined enjoyed the novel that the school administrator had written,", the teacher considered it poorly written .",tensor(-3.8015),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,sub_no-matrix, While the maid who the chef had yelled at read the magazine that the shift manager left behind,.,tensor(-2.2720),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,no-sub_no-matrix, The maid who the chef had yelled at read the magazine that the shift manager left behind,.,tensor(-0.8579),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,sub_matrix, While the maid who the chef had yelled at read the magazine that the shift manager left behind,", the customer waited at her table .",tensor(-3.4013),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
37,subordination_orc-orc,no-sub_matrix, The maid who the chef had yelled at read the magazine that the shift manager left behind,", the customer waited at her table .",tensor(-4.6215),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,sub_no-matrix, Before the assistant who the boss moved down the hall wrote the letter that the lawyer threw away,.,tensor(-2.2005),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,no-sub_no-matrix, The assistant who the boss moved down the hall wrote the letter that the lawyer threw away,.,tensor(-0.3691),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,sub_matrix, Before the assistant who the boss moved down the hall wrote the letter that the lawyer threw away,", she had a cup of coffee .",tensor(-2.7362),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
38,subordination_orc-orc,no-sub_matrix, The assistant who the boss moved down the hall wrote the letter that the lawyer threw away,", she had a cup of coffee .",tensor(-3.7133),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,sub_no-matrix, After the diplomat who the spy had contacted repeatedly presented the file that the assistant had written,.,tensor(-5.2495),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,no-sub_no-matrix, The diplomat who the spy had contacted repeatedly presented the file that the assistant had written,.,tensor(-1.6745),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,sub_matrix, After the diplomat who the spy had contacted repeatedly presented the file that the assistant had written,", the ambassador gave a speech .",tensor(-2.9848),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
39,subordination_orc-orc,no-sub_matrix, The diplomat who the spy had contacted repeatedly presented the file that the assistant had written,", the ambassador gave a speech .",tensor(-4.0318),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,sub_no-matrix, While the officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,.,tensor(-1.9923),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,no-sub_no-matrix, The officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,.,tensor(-1.2490),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,sub_matrix, While the officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,", the players waited nervously .",tensor(-2.9954),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
40,subordination_orc-orc,no-sub_matrix, The officials who the coaches had bribed handsomely reviewed the contract that the lawyers had written,", the players waited nervously .",tensor(-3.8544),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,sub_no-matrix, Because the clerk who the citizens liked greatly lost the plans that the city planners had drafted,.,tensor(-1.3552),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,no-sub_no-matrix, The clerk who the citizens liked greatly lost the plans that the city planners had drafted,.,tensor(-1.3294),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,sub_matrix, Because the clerk who the citizens liked greatly lost the plans that the city planners had drafted,", the detective looked elsewhere .",tensor(-4.8250),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
41,subordination_orc-orc,no-sub_matrix, The clerk who the citizens liked greatly lost the plans that the city planners had drafted,", the detective looked elsewhere .",tensor(-5.2996),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,sub_no-matrix, While the tourists who the locals found strange read the guide that the maid had given them,.,tensor(-5.0127),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,no-sub_no-matrix, The tourists who the locals found strange read the guide that the maid had given them,.,tensor(-1.0375),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,sub_matrix, While the tourists who the locals found strange read the guide that the maid had given them,", the children played in the sand .",tensor(-2.9297),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
42,subordination_orc-orc,no-sub_matrix, The tourists who the locals found strange read the guide that the maid had given them,", the children played in the sand .",tensor(-3.9506),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,sub_no-matrix, When the politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,.,tensor(-4.1946),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,no-sub_no-matrix, The politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,.,tensor(-0.1924),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,sub_matrix, When the politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,", the protestors walked down the street .",tensor(-3.3159),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
43,subordination_orc-orc,no-sub_matrix, The politicians who the lobbyists trusted passed the new law that all the shop owners strongly opposed,", the protestors walked down the street .",tensor(-3.9821),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,sub_no-matrix, When the police who the officer had given pistols found new evidence that the suspect had hidden,.,tensor(-5.5908),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,no-sub_no-matrix, The police who the officer had given pistols found new evidence that the suspect had hidden,.,tensor(-3.4186),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,sub_matrix, When the police who the officer had given pistols found new evidence that the suspect had hidden,", the judge declared a mistrial .",tensor(-2.7145),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
44,subordination_orc-orc,no-sub_matrix, The police who the officer had given pistols found new evidence that the suspect had hidden,", the judge declared a mistrial .",tensor(-3.2421),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,sub_no-matrix, Before the students who the committee had praised handed in their papers that the teacher assigned them,.,tensor(-3.2584),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,no-sub_no-matrix, The students who the committee had praised handed in their papers that the teacher assigned them,.,tensor(-1.2911),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,sub_matrix, Before the students who the committee had praised handed in their papers that the teacher assigned them,", they revised them all night long .",tensor(-3.2546),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
45,subordination_orc-orc,no-sub_matrix, The students who the committee had praised handed in their papers that the teacher assigned them,", they revised them all night long .",tensor(-3.9423),['((5;%sub_no-matrix%) > (5;%no-sub_no-matrix%) ) & ((5;%sub_matrix%) < (5;%no-sub_matrix%) )']
46,center_embed,plaus, The painting that the artist,painted,tensor(-5.0755),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,plaus, The painting that the artist painted,deteriorated,tensor(-6.0350),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,implaus, The painting that the artist,deteriorated,tensor(-6.7771),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
46,center_embed,implaus, The painting that the artist deteriorated,painted,tensor(-5.0207),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,plaus, The storm that the captain,feared,tensor(-6.5163),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,plaus, The storm that the captain feared,subsided,tensor(-6.7175),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,implaus, The storm that the captain,subsided,tensor(-8.7718),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
47,center_embed,implaus, The storm that the captain subsided,feared,tensor(-9.0431),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,plaus, The girl that the bug,frightened,tensor(-5.9592),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,plaus, The girl that the bug frightened,shouted,tensor(-5.7651),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,implaus, The girl that the bug,shouted,tensor(-6.8376),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
48,center_embed,implaus, The girl that the bug shouted,frightened,tensor(-6.4985),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,plaus, The baby that the woman,held,tensor(-6.7783),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,plaus, The baby that the woman held,yelled,tensor(-11.2267),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,implaus, The baby that the woman,yelled,tensor(-7.0016),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
49,center_embed,implaus, The baby that the woman yelled,held,tensor(-9.7830),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,plaus, The soldier that the bullet,wounded,tensor(-6.3012),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,plaus, The soldier that the bullet wounded,died,tensor(-7.5517),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,implaus, The soldier that the bullet,died,tensor(-9.1255),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
50,center_embed,implaus, The soldier that the bullet died,wounded,tensor(-9.1025),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,plaus, The storm that the scientist,predicted,tensor(-6.9434),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,plaus, The storm that the scientist predicted,intensified,tensor(-5.2757),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,implaus, The storm that the scientist,intensified,tensor(-6.9437),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
51,center_embed,implaus, The storm that the scientist intensified,predicted,tensor(-8.4676),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,plaus, The convict that the cop,arrested,tensor(-10.2433),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,plaus, The convict that the cop arrested,escaped,tensor(-5.1492),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,implaus, The convict that the cop,escaped,tensor(-5.1815),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
52,center_embed,implaus, The convict that the cop escaped,arrested,tensor(-8.2642),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,plaus, The computer that the secretary,bought,tensor(-8.0228),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,plaus, The computer that the secretary bought,crashed,tensor(-6.9951),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,implaus, The computer that the secretary,crashed,tensor(-7.9322),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
53,center_embed,implaus, The computer that the secretary crashed,bought,tensor(-10.9035),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,plaus, The floor that the maid,swept,tensor(-7.1017),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,plaus, The floor that the maid swept,cracked,tensor(-7.4938),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,implaus, The floor that the maid,cracked,tensor(-5.9574),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
54,center_embed,implaus, The floor that the maid cracked,swept,tensor(-4.5697),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,plaus, The yacht that the millionaires,bought,tensor(-7.1680),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,plaus, The yacht that the millionaires bought,sank,tensor(-9.8909),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,implaus, The yacht that the millionaires,sank,tensor(-8.9942),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
55,center_embed,implaus, The yacht that the millionaires sank,bought,tensor(-9.9132),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,plaus, The shirt that the man,bought,tensor(-10.5994),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,plaus, The shirt that the man bought,ripped,tensor(-8.4634),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,implaus, The shirt that the man,ripped,tensor(-12.1879),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
56,center_embed,implaus, The shirt that the man ripped,bought,tensor(-9.7462),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,plaus, The water that the maid,poured,tensor(-5.8361),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,plaus, The water that the maid poured,evaporated,tensor(-6.9264),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,implaus, The water that the maid,evaporated,tensor(-5.5204),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
57,center_embed,implaus, The water that the maid evaporated,poured,tensor(-7.7046),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,plaus, The building that the workers,built,tensor(-14.4971),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,plaus, The building that the workers built,collapsed,tensor(-8.2715),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,implaus, The building that the workers,collapsed,tensor(-9.5447),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
58,center_embed,implaus, The building that the workers collapsed,built,tensor(-17.3828),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,plaus, The bones that the doctor,examined,tensor(-3.7768),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,plaus, The bones that the doctor examined,broke,tensor(-8.2792),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,implaus, The bones that the doctor,broke,tensor(-7.4938),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
59,center_embed,implaus, The bones that the doctor broke,examined,tensor(-6.2350),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,plaus, The building that the workers,repaired,tensor(-5.7415),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,plaus, The building that the workers repaired,deteriorated,tensor(-3.5459),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,implaus, The building that the workers,deteriorated,tensor(-6.7211),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
60,center_embed,implaus, The building that the workers deteriorated,repaired,tensor(-5.9143),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,plaus, The ship that the workers,built,tensor(-13.9847),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,plaus, The ship that the workers built,sank,tensor(-4.3322),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,implaus, The ship that the workers,sank,tensor(-12.1823),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
61,center_embed,implaus, The ship that the workers sank,built,tensor(-16.1687),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,plaus, The horse that the boy,rode,tensor(-5.5608),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,plaus, The horse that the boy rode,bucked,tensor(-5.2322),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,implaus, The horse that the boy,bucked,tensor(-6.1381),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
62,center_embed,implaus, The horse that the boy bucked,rode,tensor(-6.6478),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
63,center_embed,plaus, The water that the chef,needed,tensor(-8.5564),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
63,center_embed,plaus, The water that the chef needed,evaporated,tensor(-3.7487),['( (6;%plaus%) + (7;%plaus%) ) < ( (6;%implaus%) + (7;%implaus%) )']
