prompt,entailment/non-entailment,log_prob_entailment,log_prob_nonentailment,correct_prediction
"He became a boxing referee in 1964 and became most well-known for his decision against Mike Tyson, during the Holyfield fight, when Tyson bit Holyfield's ear. Mike Tyson bit Holyfield's ear in 1964.",non-entailment,tensor(-9.1526),tensor(-6.7574),True
"Kozlowski and the company's former chief financial officer, Mark Swartz, were sentenced, on Monday, to up to 25 years in prison. Kozlowski was sentenced, Monday, to serve up to 25 years in prison.",entailment,tensor(-10.2830),tensor(-7.6063),False
"NASA's two Great Observatories, the Hubble Space Telescope and the Chandra X-ray Observatory, have independently provided what could be the best direct evidence yet for the existence of an event horizon, the defining feature of a black hole. Hubble discovers black holes.",entailment,tensor(-9.3725),tensor(-7.4503),False
Wal-Mart Stores has asked a US federal appeals court to review a judge's order approving class-action status for a sex-discrimination lawsuit. The judge approves of sex-discrimination.,non-entailment,tensor(-8.9885),tensor(-6.7468),True
"La Paz, 30 May 89 - La Paz Department Police authorities have disclosed that investigations into the murder of two young U.S. citizens are being conducted by a specialized group summoned specially to clarify this crime. Two young U.S. citizens were killed on 30 May 89.",non-entailment,tensor(-9.9694),tensor(-7.7667),True
"In reality, legalization would dramatically expand America's drug dependence, significantly increase the social costs of drug abuse, and put countless more innocent lives at risk. Drug legalization has benefits.",non-entailment,tensor(-8.3544),tensor(-6.7882),True
Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection. Microsoft won't offer increased storage to its users.,non-entailment,tensor(-8.5567),tensor(-7.3078),True
"One of the dead was a child, passing by with his parents, said Iqrar Abbasi, a doctor at Civil Hospital Karachi. A doctor was killed by his parents.",non-entailment,tensor(-9.3307),tensor(-6.7396),True
Cancer Research Campaign signed a deal with a US pharmaceuticals company to develop a pioneering cancer treatment. Other changes involve joint Research and Development programs with other companies.,non-entailment,tensor(-10.0439),tensor(-7.1747),True
"The investigation came about following the collapse of Barings Bank, when one of its traders based in Singapore, Nick Leeson, amassed losses of the order of 600-700 million without the bank being aware of it. Nick Leeson was arrested for collapse of Barings Bank PLC.",non-entailment,tensor(-9.1540),tensor(-6.9741),True
"An American journalist of Russian descent, Klebnikov was shot four times by at least one assassin in a passing car as he stepped outside his office that evening in Moscow. Vladislav Listyev was murdered in Moscow.",non-entailment,tensor(-9.1719),tensor(-7.4013),True
"47-year-old Susan Boyle from Blackburn, West Lothian in Scotland, made her debut appearance on the show on Saturday night by saying that she had ""never been married, never been kissed"" and was currently unemployed, living alone at home with her cat, Pebbles. She says that she wants to ""be a professional singer"", but has ""never been given the chance."" Audience members and judges Amanda Holden, Simon Cowell and Piers Morgan, first laughed and even poked fun at her. Boyle then stunned the judges and audience, getting a standing ovation, with her performance of I Dreamed a Dream from the award winning musical performance Les Misérables. Cowell called her performance ""extraordinary"" while Morgan called it ""the biggest surprise I've had in three years of this show. I am shocked."" Holden even admitted that ""everyone was against you [Boyle]"" and that ""we were all being very cynical."" Simon Cowell fell in love with Susan Boyle.",non-entailment,tensor(-9.3934),tensor(-7.2698),True
"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps. 15 million tonnes of rubbish are produced daily in Cairo.",non-entailment,tensor(-9.2203),tensor(-8.1281),True
"The sunset, touching distant hills with ribbons of fire across the waters of the Dead Sea, brings a sense of unreality to culminate a day's visit to the lowest point on earth, some 400 meters below sea level. The lowest point on earth is at the Dead Sea.",entailment,tensor(-9.1039),tensor(-7.6377),False
"U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah. Fallujah and Baqubah are Iraqi cities.",entailment,tensor(-9.9770),tensor(-7.6272),False
"Monica Meadows, a 22-year-old model from Atlanta, was shot in the shoulder on a subway car in New York City. Monica Meadows, 23, was shot in shoulder while riding a subway car in New York City",non-entailment,tensor(-9.9492),tensor(-8.9102),True
"Mrs. Bush's approval ratings have remained very high, above 80%, even as her husband's have recently dropped below 50%. 80% approve of Mr. Bush.",non-entailment,tensor(-9.3762),tensor(-7.0405),True
"Police in the Lower Austrian town of Amstetten have arrested a 73 year old man who is alleged to have kept his daughter, now aged 42, locked in the cellar of his house in Amstetten since 29th August 1984. The man, identified by police as Josef Fritzl, is alleged to have started sexually abusing his daughter, named as Elisabeth Fritzl, when she was eleven years old, and to have subsequently fathered seven children by her. One of the children, one of a set of twins born in 1996, died of neglect shortly after birth and the body was burned by the father. Amstetten is located in Austria.",entailment,tensor(-10.7223),tensor(-7.6588),False
"Despite Bjork making her first live performance in two years, the crowd of 10,000 people was only half of what the hall in the Tokyo suburb of Makuhari could hold. 10,000 people live in Tokyo.",non-entailment,tensor(-9.6418),tensor(-7.7333),True
"Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation. Christopher Reeve had an accident.",non-entailment,tensor(-8.7027),tensor(-7.3154),True
"We look at the cool relationship between these two establishment families and how the party would fare with the son, Texas Gov. George W. Bush, and the wife, Elizabeth Dole, on the 2000 campaign trail. The name of George W. Bush's wife is Laura.",non-entailment,tensor(-9.3358),tensor(-6.5490),True
"In the history of art, prehistoric art is all art produced in preliterate cultures (prehistory), beginning somewhere in very late geological history. Prehistoric art discovered in South Africa.",non-entailment,tensor(-10.1091),tensor(-7.1479),True
"Hours earlier, Yasser Arafat called for an end to attacks against Israeli civilians in the two weeks before Israeli elections. Arafat condemned suicide bomb attacks inside Israel.",non-entailment,tensor(-10.7191),tensor(-8.0284),True
The drugs that slow down or halt Alzheimer's disease work best the earlier you administer them. Alzheimer's disease is treated using drugs.,entailment,tensor(-9.9534),tensor(-8.6620),False
Hepburn's family will receive the proceeds from the sale. Proceeds go to Hepburn's family.,entailment,tensor(-10.1293),tensor(-6.7686),False
Most commercial logwood is grown in Honduras. Plants are grown in water or in substances other than soil.,non-entailment,tensor(-9.6161),tensor(-7.2351),True
"P. Prayong, who like Kevala belongs to the Theravada sect of Buddhism, chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha. P. Prayong is a member of Theravada.",entailment,tensor(-9.0183),tensor(-6.5049),False
"Two British soldiers have been arrested in the southern Iraq city of Basra, sparking clashes outside a police station where they are being held. Two British tanks, sent to the police station where the soldiers are being held, were set alight in clashes.",non-entailment,tensor(-10.2440),tensor(-7.7973),True
"Jerry Reinsdorf (born February 25 1936 in Brooklyn, New York) is the owner of Chicago White Sox and the Chicago Bulls. Recently, he helped the White Sox win the 2005 World Series and, in the process, collected his seventh championship ring overall (the first six were all with the Bulls in the 1990s), becoming the third owner in the history of North American sports to win a championship in two different sports. Jerry Reinsdorf has won 7 championships.",entailment,tensor(-10.4601),tensor(-7.6977),False
"FMLN reports to our people, and to the people of the world, that the massacre against the Salvadoran Workers National Union Federation [Fenastras] was carried out by Colonel Elena Fuente, as the head of the morbid death squad of the army's 1st Infantry Brigade, in response to our military attack on the army staff. Fenastras was attacked by FMLN.",non-entailment,tensor(-10.7462),tensor(-7.6066),True
"On Jan. 27, 1756, composer Wolfgang Amadeus Mozart was born in Salzburg, Austria. Wolfgang Amadeus Mozart was born in Salzburg.",entailment,tensor(-9.1564),tensor(-7.6492),False
The job gains mean that  President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office. More jobs were created during President Bush's first term.,entailment,tensor(-8.8999),tensor(-7.8300),False
But Huawei says that expansion has not been easy - obtaining visas for its Chinese engineers to work on long-term projects in India being a particular challenge. Chinese engineers working on long-term projects in India can easily obtain visas.,non-entailment,tensor(-8.8339),tensor(-6.2241),True
"The 26-member International Energy Agency said, Friday, that member countries would release oil to help relieve the U.S. fuel crisis caused by Hurricane Katrina. An international oil agency will make 60 million barrels of oil and gasoline available to the marketplace.",non-entailment,tensor(-9.5907),tensor(-7.8106),True
"MIDWEST CITY, Okla. -- Fire crews in Oklahoma and Texas raced Thursday to control wind-whipped wildfires that destroyed dozens of homes, seriously injured two people, forced evacuations and shut down parts of a major highway. Howling wind that had gusted to more than 60 mph grounded firefighting efforts by air in both states and drove blazes that scorched neighborhoods like ""a war zone,"" Midwest City police Chief Brandon Clabes said. ""The wind is the biggest issue, because we can't get ahead of the fires,"" Midwest City Fire Marshal Jerry Lojka said. By nightfall, wind gusts dropped to about 30 mph in many areas. Homes were destroyed by wildfires in Oklahoma and Texas.",entailment,tensor(-10.2569),tensor(-8.3016),False
The latest attacks targeted the U-S embassy and a top prosecutor's office in the Uzbek capital. Yesterday's terrorist bombings killed two people at the entrance to the Israeli Embassy in Uzbekistan's capital.,non-entailment,tensor(-10.5870),tensor(-8.0968),True
"Unwilling to surrender his dream of beginning a Holy Land pilgrimage in Iraq, Pope John Paul II made a ""virtual pilgrimage"" Wednesday to Ur, the ancient city that is traditionally held to be the birthplace of Abraham. Pope John Paul II was born in Poland.",non-entailment,tensor(-9.4211),tensor(-7.5082),True
The witness then spotted Rodriguez crouching behind a gate for protection. The witness rescued Rodriguez.,non-entailment,tensor(-9.1346),tensor(-6.8870),True
A new report indicates that women's participation in decision-making in the country is minimal. Women are poorly represented in parliament.,non-entailment,tensor(-10.1144),tensor(-7.6882),True
"Foreign Carmakers Gain in Russia. The likes of Daewoo, Ford, Renault, and more can't produce fast enough. European cars sell in Russia.",entailment,tensor(-9.1181),tensor(-7.7085),False
"Cote d'Ivoire's President, Laurent Gbagbo, promulgated new election laws on July 14. President Laurent Gbagbo lives in Cote d'Ivoire.",entailment,tensor(-9.1554),tensor(-6.4743),False
"The humane organization, Caritas, quoting its branch in Iraq, announced today, in Germany, that several Iraqi hospitals, especially Saddam Hospital, which is considered the biggest hospital in Iraq, were hit in the American-British bombing of the Iraqi capital. Caritas announced that several Iraqi hospitals, (excluding Saddam Hospital,) were hit in the shelling of Baghdad.",non-entailment,tensor(-10.7671),tensor(-6.9856),True
