premise,question,choice1,choice2,label,generated_response
The chair squeaked.,cause,The man carried the chair to his office.,The man scooted the chair closer to his desk.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The chair squeaked..

    To determine: cause.

    Sentences: The man carried the chair to his office. The man scooted the chair closer to his desk.

    Answer:
    0"
I wrote a thank-you note to my grandmother.,cause,She became forgetful.,She sent me a gift.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I wrote a thank-you note to my grandmother..

    To determine: cause.

    Sentences: She became forgetful. She sent me a gift.

    Answer:
    0"
The host of the trivia show called on the contestant for an answer.,cause,The contestant was in the lead.,The contestant rang the buzzer.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The host of the trivia show called on the contestant for an answer..

    To determine: cause.

    Sentences: The contestant was in the lead. The contestant rang the buzzer.

    Answer:
    0"
The mother suspected that her son was lying.,cause,He refused to talk to her.,He avoided making eye contact with her.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The mother suspected that her son was lying..

    To determine: cause.

    Sentences: He refused to talk to her. He avoided making eye contact with her.

    Answer:
    0"
The boy's mouth stung.,cause,He ate a pepper.,He blew out the candle.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boy's mouth stung..

    To determine: cause.

    Sentences: He ate a pepper. He blew out the candle.

    Answer:
    1"
I clenched the candy wrapper in my fist.,effect,The wrapper crinkled.,The wrapper ripped.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I clenched the candy wrapper in my fist..

    To determine: effect.

    Sentences: The wrapper crinkled. The wrapper ripped.

    Answer:
    0"
A group of teenagers crashed the party.,effect,The host of the party kicked them out.,The host of the party invited them in.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: A group of teenagers crashed the party..

    To determine: effect.

    Sentences: The host of the party kicked them out. The host of the party invited them in.

    Answer:
    1"
The boy wanted to be muscular.,effect,He lifted weights.,He played computer games.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boy wanted to be muscular..

    To determine: effect.

    Sentences: He lifted weights. He played computer games.

    Answer:
    0"
I pushed the gas pedal.,effect,The car accelerated.,The car door opened.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I pushed the gas pedal..

    To determine: effect.

    Sentences: The car accelerated. The car door opened.

    Answer:
    0"
The milk stayed cold.,cause,It was pasteurized.,I stored it in the refrigerator.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The milk stayed cold..

    To determine: cause.

    Sentences: It was pasteurized. I stored it in the refrigerator.

    Answer:
    0"
The celebrity wore sunglasses.,cause,She wanted to thank her fans.,She wanted to avoid recognition.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The celebrity wore sunglasses..

    To determine: cause.

    Sentences: She wanted to thank her fans. She wanted to avoid recognition.

    Answer:
    0"
The woman gave the man her phone number.,cause,She was attracted to him.,She was repulsed by him.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman gave the man her phone number..

    To determine: cause.

    Sentences: She was attracted to him. She was repulsed by him.

    Answer:
    0"
The army surrendered the battle.,cause,They were outnumbered.,They stormed the city.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The army surrendered the battle..

    To determine: cause.

    Sentences: They were outnumbered. They stormed the city.

    Answer:
    0"
The swimmer won the race.,effect,She received a gold medal.,Her team lost the meet.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The swimmer won the race..

    To determine: effect.

    Sentences: She received a gold medal. Her team lost the meet.

    Answer:
    0"
The girl met her favorite actor.,effect,She went to see his new film.,She asked him for his autograph.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl met her favorite actor..

    To determine: effect.

    Sentences: She went to see his new film. She asked him for his autograph.

    Answer:
    0"
The girl applied the scissors to the paper.,effect,The paper sliced apart.,The paper crinkled.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The girl applied the scissors to the paper..

    To determine: effect.

    Sentences: The paper sliced apart. The paper crinkled.

    Answer:
    0"
The shop was closed.,cause,The owner was helping customers.,The shop was undergoing renovation.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The shop was closed..

    To determine: cause.

    Sentences: The owner was helping customers. The shop was undergoing renovation.

    Answer:
    0"
My flight got delayed.,cause,Tornadoes were sighted in the area.,I was held up at airport security.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My flight got delayed..

    To determine: cause.

    Sentences: Tornadoes were sighted in the area. I was held up at airport security.

    Answer:
    0"
The child caught a life-threatening illness.,cause,She didn't get vaccinated.,She was adopted.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The child caught a life-threatening illness..

    To determine: cause.

    Sentences: She didn't get vaccinated. She was adopted.

    Answer:
    0"
The woman felt compelled to help someone in need.,effect,She donated blood.,She wrote a poem.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman felt compelled to help someone in need..

    To determine: effect.

    Sentences: She donated blood. She wrote a poem.

    Answer:
    0"
The boat capsized.,cause,The captain raised the sail.,It was caught in a hurricane.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boat capsized..

    To determine: cause.

    Sentences: The captain raised the sail. It was caught in a hurricane.

    Answer:
    1"
The man lifted the heavy box.,effect,He put out his back.,He scratched his back.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man lifted the heavy box..

    To determine: effect.

    Sentences: He put out his back. He scratched his back.

    Answer:
    0"
The woman had an infection.,effect,She took antibiotics.,She washed her hands.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman had an infection..

    To determine: effect.

    Sentences: She took antibiotics. She washed her hands.

    Answer:
    0"
The woman's ring slipped off in the shower.,effect,The woman polished the ring.,The ring went down the drain.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman's ring slipped off in the shower..

    To determine: effect.

    Sentences: The woman polished the ring. The ring went down the drain.

    Answer:
    0"
The employee missed work.,cause,Her family got in touch with her.,There was a death in her family.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The employee missed work..

    To determine: cause.

    Sentences: Her family got in touch with her. There was a death in her family.

    Answer:
    0"
The turtle hid in its shell.,cause,It ate a fish.,It detected a predator.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The turtle hid in its shell..

    To determine: cause.

    Sentences: It ate a fish. It detected a predator.

    Answer:
    0"
My friend was recovering from surgery.,effect,I dropped her off at the hospital.,I brought her a card and flowers.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: My friend was recovering from surgery..

    To determine: effect.

    Sentences: I dropped her off at the hospital. I brought her a card and flowers.

    Answer:
    0"
I moved to a new city.,cause,I found a better-paying job.,My son was born.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I moved to a new city..

    To determine: cause.

    Sentences: I found a better-paying job. My son was born.

    Answer:
    1"
The teacher caught the student chewing gum.,effect,The gum stuck to the student's shoe.,The student spit out the gum.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The teacher caught the student chewing gum..

    To determine: effect.

    Sentences: The gum stuck to the student's shoe. The student spit out the gum.

    Answer:
    0"
The city re-elected the mayor.,cause,The city cut its budget.,The mayor fulfilled his promises.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The city re-elected the mayor..

    To determine: cause.

    Sentences: The city cut its budget. The mayor fulfilled his promises.

    Answer:
    0"
The customer thought the souvenir was overpriced.,effect,The vender sold it to him.,He bargained with the vendor.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The customer thought the souvenir was overpriced..

    To determine: effect.

    Sentences: The vender sold it to him. He bargained with the vendor.

    Answer:
    0"
The man's clothes fit loosely.,cause,He bought them on sale.,He lost weight.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man's clothes fit loosely..

    To determine: cause.

    Sentences: He bought them on sale. He lost weight.

    Answer:
    0"
The photograph faded.,cause,It was fake.,It was old.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The photograph faded..

    To determine: cause.

    Sentences: It was fake. It was old.

    Answer:
    0"
The runner wore shorts.,cause,The forecast predicted high temperatures.,She planned to run along the beach.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The runner wore shorts..

    To determine: cause.

    Sentences: The forecast predicted high temperatures. She planned to run along the beach.

    Answer:
    0"
The man read the cartoon in the newspaper.,effect,He sipped coffee.,He chuckled.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man read the cartoon in the newspaper..

    To determine: effect.

    Sentences: He sipped coffee. He chuckled.

    Answer:
    0"
The glasses on the table spilled.,cause,The child drew on the table.,The child yanked the tablecloth.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The glasses on the table spilled..

    To determine: cause.

    Sentences: The child drew on the table. The child yanked the tablecloth.

    Answer:
    0"
The computer crashed.,cause,I backed up my files.,I downloaded a virus.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The computer crashed..

    To determine: cause.

    Sentences: I backed up my files. I downloaded a virus.

    Answer:
    0"
I lingered in bed upon awakening.,cause,I was hungry.,It was Saturday.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I lingered in bed upon awakening..

    To determine: cause.

    Sentences: I was hungry. It was Saturday.

    Answer:
    0"
The balloon expanded.,cause,I blew into it.,I pricked it.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The balloon expanded..

    To determine: cause.

    Sentences: I blew into it. I pricked it.

    Answer:
    0"
The man gained weight.,effect,He got his suit altered.,He got his shoes shined.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man gained weight..

    To determine: effect.

    Sentences: He got his suit altered. He got his shoes shined.

    Answer:
    0"
Air leaked out of the beach ball.,cause,It was inflated.,There was a hole in it.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: Air leaked out of the beach ball..

    To determine: cause.

    Sentences: It was inflated. There was a hole in it.

    Answer:
    0"
The group overlooked the woman's faux pas.,effect,The woman was relieved.,The woman apologized.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The group overlooked the woman's faux pas..

    To determine: effect.

    Sentences: The woman was relieved. The woman apologized.

    Answer:
    1"
I held the door for the woman entering behind me.,effect,The door slammed shut.,The woman thanked me.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I held the door for the woman entering behind me..

    To determine: effect.

    Sentences: The door slammed shut. The woman thanked me.

    Answer:
    0"
The boy's hands were shaking.,cause,He planned to ask the girl out.,His palms were cold and sweaty.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boy's hands were shaking..

    To determine: cause.

    Sentences: He planned to ask the girl out. His palms were cold and sweaty.

    Answer:
    0"
The cat purred.,cause,It scratched me.,I petted it.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The cat purred..

    To determine: cause.

    Sentences: It scratched me. I petted it.

    Answer:
    0"
The hunter ran out of ammunition.,effect,He reloaded the gun.,He aimed at the deer.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The hunter ran out of ammunition..

    To determine: effect.

    Sentences: He reloaded the gun. He aimed at the deer.

    Answer:
    0"
I scrubbed the stain on the floor.,effect,I got rid of the stain.,I got dirt on the floor.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I scrubbed the stain on the floor..

    To determine: effect.

    Sentences: I got rid of the stain. I got dirt on the floor.

    Answer:
    0"
The police eliminated the woman from the list of suspects.,cause,The police interrogated her.,Her alibi checked out.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The police eliminated the woman from the list of suspects..

    To determine: cause.

    Sentences: The police interrogated her. Her alibi checked out.

    Answer:
    0"
The nurse prepared the needle for the patient's injection.,effect,The patient bled.,The patient tensed up.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The nurse prepared the needle for the patient's injection..

    To determine: effect.

    Sentences: The patient bled. The patient tensed up.

    Answer:
    1"
The driver pulled over to the side of the road.,cause,He went through an intersection.,He noticed a stranded vehicle.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The driver pulled over to the side of the road..

    To determine: cause.

    Sentences: He went through an intersection. He noticed a stranded vehicle.

    Answer:
    0"
The parents left their children with a babysitter.,cause,Their youngest child started attending preschool.,They made plans to celebrate their anniversary.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The parents left their children with a babysitter..

    To determine: cause.

    Sentences: Their youngest child started attending preschool. They made plans to celebrate their anniversary.

    Answer:
    0"
The child became immune to the disease.,cause,He avoided exposure to the disease.,He received the vaccine for the disease.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The child became immune to the disease..

    To determine: cause.

    Sentences: He avoided exposure to the disease. He received the vaccine for the disease.

    Answer:
    1"
The water in the teapot started to boil.,effect,The teapot cooled.,The teapot whistled.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The water in the teapot started to boil..

    To determine: effect.

    Sentences: The teapot cooled. The teapot whistled.

    Answer:
    0"
The boy felt homesick.,cause,He went away to camp.,He bickered with his sister.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boy felt homesick..

    To determine: cause.

    Sentences: He went away to camp. He bickered with his sister.

    Answer:
    0"
The security guard replayed the surveillance footage.,cause,The surveillance camera was out of focus.,He noticed some suspicious activity.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The security guard replayed the surveillance footage..

    To determine: cause.

    Sentences: The surveillance camera was out of focus. He noticed some suspicious activity.

    Answer:
    0"
I flipped the light switch up and down.,effect,The light faded.,The light flickered.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I flipped the light switch up and down..

    To determine: effect.

    Sentences: The light faded. The light flickered.

    Answer:
    0"
The button on my shirt fell off.,effect,I sewed the button back on.,I glued the button back on.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The button on my shirt fell off..

    To determine: effect.

    Sentences: I sewed the button back on. I glued the button back on.

    Answer:
    0"
I ran out of breath.,cause,I climbed several flights of stairs.,I read several chapters of the book.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I ran out of breath..

    To determine: cause.

    Sentences: I climbed several flights of stairs. I read several chapters of the book.

    Answer:
    0"
The mother scolded her daughter.,cause,Her daughter burped at the kitchen table.,Her daughter set the kitchen table.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The mother scolded her daughter..

    To determine: cause.

    Sentences: Her daughter burped at the kitchen table. Her daughter set the kitchen table.

    Answer:
    0"
The vandals threw a rock at the window.,effect,The window cracked.,The window fogged up.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The vandals threw a rock at the window..

    To determine: effect.

    Sentences: The window cracked. The window fogged up.

    Answer:
    0"
The woman's makeup smeared.,cause,She brushed her hair.,She wiped her eyes.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The woman's makeup smeared..

    To determine: cause.

    Sentences: She brushed her hair. She wiped her eyes.

    Answer:
    0"
The seamstress pushed the threaded needle into the fabric.,effect,The thread wrapped around the needle.,The thread went through the fabric.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The seamstress pushed the threaded needle into the fabric..

    To determine: effect.

    Sentences: The thread wrapped around the needle. The thread went through the fabric.

    Answer:
    0"
I went to bed.,cause,It was a clear night.,It was late.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: I went to bed..

    To determine: cause.

    Sentences: It was a clear night. It was late.

    Answer:
    0"
The friends' debate dragged on interminably.,cause,The friends saw eye to eye.,The friends were splitting hairs.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The friends' debate dragged on interminably..

    To determine: cause.

    Sentences: The friends saw eye to eye. The friends were splitting hairs.

    Answer:
    0"
The boy read the novel aloud to his grandfather.,cause,His grandfather was deaf.,His grandfather was blind.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The boy read the novel aloud to his grandfather..

    To determine: cause.

    Sentences: His grandfather was deaf. His grandfather was blind.

    Answer:
    1"
The bar closed.,cause,It was crowded.,It was 3 AM.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The bar closed..

    To determine: cause.

    Sentences: It was crowded. It was 3 AM.

    Answer:
    0"
The fans in the stadium cheered.,cause,The game ended in a tie.,The player scored.,1,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The fans in the stadium cheered..

    To determine: cause.

    Sentences: The game ended in a tie. The player scored.

    Answer:
    0"
The man became disabled.,effect,His family offered him financial support.,His family cut off contact with him.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The man became disabled..

    To determine: effect.

    Sentences: His family offered him financial support. His family cut off contact with him.

    Answer:
    0"
The pond froze over for the winter.,effect,People skated on the pond.,People brought boats to the pond.,0,"You are given the premise and two sentences with it. Determine which sentence is a cause/effect for the premise.
    If the answer is the first sentence, answer with 0. If the answer is the second sentence, answer with 1.

    Premise: The pond froze over for the winter..

    To determine: effect.

    Sentences: People skated on the pond. People brought boats to the pond.

    Answer:
    0"
