,sentence,label,idx,prompt,log_prob_unacceptable,log_prob_acceptable,prediction,log_prob_unacceptable_chat,log_prob_acceptable_chat,prediction_chat
171,I wonder in whom them to place their trust.,0,707,I wonder in whom them to place their trust.,tensor(-6.8053),tensor(-6.7568),1,tensor(-6.8111),tensor(-6.5836),1
172,He was arrested by the police.,1,924,He was arrested by the police.,tensor(-5.7989),tensor(-7.6961),0,tensor(-6.3652),tensor(-6.4723),0
173,Lou put the umbrella was broken.,0,907,Lou put the umbrella was broken.,tensor(-5.6908),tensor(-6.9958),0,tensor(-6.0632),tensor(-6.7848),0
174,Ourselves like ourselves.,0,741,Ourselves like ourselves.,tensor(-5.8797),tensor(-7.0550),0,tensor(-5.9953),tensor(-6.3081),0
175,In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?,0,595,In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?,tensor(-9.5382),tensor(-9.5465),0,tensor(-8.6725),tensor(-8.6052),1
176,Books were taken from each student by the other.,1,638,Books were taken from each student by the other.,tensor(-6.5769),tensor(-6.8244),0,tensor(-6.3080),tensor(-7.1288),0
177,"This is the book which Bob reviewed, and this is the one which Fred won't do it.",0,58,"This is the book which Bob reviewed, and this is the one which Fred won't do it.",tensor(-7.2332),tensor(-6.8536),1,tensor(-7.1892),tensor(-6.9959),1
178,Newsweek about crime appeared on the newsstands.,0,845,Newsweek about crime appeared on the newsstands.,tensor(-6.5780),tensor(-7.1942),0,tensor(-6.5193),tensor(-7.1928),0
179,John can kick the ball.,1,279,John can kick the ball.,tensor(-5.9187),tensor(-6.3516),0,tensor(-6.9172),tensor(-6.8142),1
180,That professor is feared by all students.,1,610,That professor is feared by all students.,tensor(-6.1686),tensor(-6.9088),0,tensor(-6.0039),tensor(-7.7024),0
181,John was found in the office.,1,282,John was found in the office.,tensor(-6.3899),tensor(-7.6493),0,tensor(-7.3387),tensor(-6.4740),1
182,Anson became a muscle bound.,1,526,Anson became a muscle bound.,tensor(-5.7844),tensor(-7.0974),0,tensor(-5.3993),tensor(-7.5033),0
183,John arranged for himself to get the prize.,1,1041,John arranged for himself to get the prize.,tensor(-6.1786),tensor(-7.0330),0,tensor(-6.1357),tensor(-7.3254),0
184,They want them arrested.,1,855,They want them arrested.,tensor(-6.2715),tensor(-7.6383),0,tensor(-6.5206),tensor(-6.3225),1
185,Vera sent a baby alligator to Max and a leather dinosaur to Phyllis.,1,642,Vera sent a baby alligator to Max and a leather dinosaur to Phyllis.,tensor(-6.8828),tensor(-7.2301),0,tensor(-7.2422),tensor(-6.8920),1
186,I wonder whose mother died.,1,688,I wonder whose mother died.,tensor(-6.1417),tensor(-6.7983),0,tensor(-5.9842),tensor(-6.4378),0
187,The dogs barked.,1,861,The dogs barked.,tensor(-6.2144),tensor(-6.7453),0,tensor(-7.1977),tensor(-6.8573),1
188,"I know which book José didn't read for class, and which book Lilly did it for him.",0,57,"I know which book José didn't read for class, and which book Lilly did it for him.",tensor(-6.9569),tensor(-7.0188),0,tensor(-7.2381),tensor(-7.5810),0
189,"Mary listens to the Grateful Dead, she gets depressed.",1,7,"Mary listens to the Grateful Dead, she gets depressed.",tensor(-7.0235),tensor(-7.5468),0,tensor(-7.5669),tensor(-7.6832),0
190,They preferred them arrested.,1,856,They preferred them arrested.,tensor(-5.4154),tensor(-7.1412),0,tensor(-5.9840),tensor(-6.4049),0
191,They were interested in his.,1,788,They were interested in his.,tensor(-5.7219),tensor(-7.9082),0,tensor(-5.8830),tensor(-6.9936),0
192,John left orders to follow Pete.,1,1003,John left orders to follow Pete.,tensor(-6.2904),tensor(-7.3062),0,tensor(-6.2845),tensor(-6.5196),0
193,We elected me.,1,67,We elected me.,tensor(-6.1240),tensor(-6.4777),0,tensor(-6.3784),tensor(-6.3834),0
194,"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",0,436,"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",tensor(-6.8858),tensor(-6.7241),1,tensor(-7.1602),tensor(-6.8152),1
195,He can not have been working.,1,19,He can not have been working.,tensor(-5.7232),tensor(-7.1698),0,tensor(-5.8919),tensor(-6.5463),0
196,Which house does your friend live?,0,304,Which house does your friend live?,tensor(-9.1330),tensor(-9.6655),0,tensor(-8.1596),tensor(-8.6012),0
197,Kim gave a dollar to Bobbie and a dime to Jean.,1,434,Kim gave a dollar to Bobbie and a dime to Jean.,tensor(-6.1113),tensor(-7.0948),0,tensor(-6.4682),tensor(-7.3797),0
198,"If Sam was going, Sally would know where.",1,529,"If Sam was going, Sally would know where.",tensor(-6.7664),tensor(-7.8580),0,tensor(-6.6311),tensor(-7.4415),0
199,the baker from whom I bought these bagels left.,1,305,the baker from whom I bought these bagels left.,tensor(-6.8220),tensor(-7.0987),0,tensor(-6.8902),tensor(-6.9396),0
